Days per month,Minuter per login,Lowest level completed,Customer added,Stories watched,Stories completed,Churn
14,80,5,41,575,463.1688721,0
14,80,7,36,505,407.0032873,0
11,42,4,43,249.325,206.0565795,0
18,44,5,33,327.7,287.8076649,0
17,60,5,35,447.25,380.9765528,0
10,91,5,42,478.75,440.3214654,0
17,77,7,20,328.25,286.5640336,0
19,93,4,45,994.9375,739.5113275,0
11,81,8,41,457.6375,341.002946,0
27,76,3,44,1129.6,836.1992997,0
20,91,5,42,956.5,762.3038634,0
5,54,5,24,82,73.54514757,0
5,76,6,37,176.75,138.5191738,0
13,44,6,29,208.35,150.8032894,0
2,79,4,29,58.275,45.40594135,0
11,99,4,23,314.0875,238.0547459,0
26,96,7,31,968.2,786.9609589,0
19,79,4,23,432.5375,333.7453807,0
5,86,4,30,162.25,138.9180097,0
16,83,4,40,665,581.3665993,0
16,43,4,39,336.4,297.4578422,0
1,73,5,42,39.325,33.84693241,0
27,88,4,27,802.9,591.6282163,0
31,85,5,38,1252.625,1088.073083,0
11,95,5,38,497.375,391.162775,0
3,43,5,46,75.175,55.075379,0
11,80,4,41,452,346.0187684,1
9,97,6,29,317.4625,265.2628172,0
10,85,4,41,436.625,322.0181916,0
16,76,5,41,624.2,448.0584601,0
12,54,5,43,349.3,286.3989178,0
13,90,3,46,673.75,498.5161963,0
22,67,4,46,848.55,723.6996709,0
15,89,4,27,451.5625,380.3686137,0
13,70,5,23,262.625,215.2986138,0
13,49,6,43,343.3875,259.0198372,0
16,94,6,41,771.8,679.3576845,0
8,43,5,45,194.5,157.9593212,0
19,87,4,40,827.5,604.3355138,0
10,82,5,34,349.5,285.8677196,0
18,77,5,39,676.675,542.7064527,1
13,87,5,39,552.3625,432.7742994,0
19,82,5,46,896.85,727.7682395,0
16,76,5,42,639.4,462.0092358,0
14,42,4,14,103.9,78.44303605,0
14,91,6,43,685.775,593.4192631,0
24,42,6,44,555.4,408.8114827,0
29,45,6,37,604.5625,457.6312251,0
8,88,4,42,370.6,313.1423764,0
9,4,4,39,18.55,15.71874713,0
23,57,4,38,623.725,544.8838157,0
12,30,5,42,190,159.3705146,1
7,45,6,38,150.625,102.6986016,0
15,74,6,37,514.375,432.4089297,0
10,69,4,46,397.75,303.0052526,0
23,107,5,40,1231.5,1007.391938,0
17,83,5,34,600.675,496.7788977,0
13,48,5,45,352,298.2488744,0
15,96,4,3,55,44.78523827,0
18,56,4,27,341.2,268.9663358,1
29,78,4,37,1047.175,767.0000973,0
14,75,3,22,289.75,247.8386323,0
0,97,3,36,1,0.763121584,0
10,85,6,31,330.375,247.9135231,0
15,44,5,41,339.25,276.9302828,0
0,62,5,26,1,0.827234421,0
14,98,5,46,789.9,620.3901644,0
31,34,5,21,277.675,207.7410895,0
10,84,5,36,379,295.1807262,0
12,75,6,44,496,393.15673,0
12,51,6,37,284.05,241.1318424,0
10,22,5,46,127.5,107.2092159,0
13,67,6,43,469.1625,388.6709091,0
31,74,5,41,1176.675,975.2229322,0
19,94,6,41,916.325,754.5390797,0
18,82,5,44,812.8,636.8038388,0
3,85,5,42,134.875,109.8557366,0
16,81,5,33,535.6,453.1228262,0
17,97,5,40,825.5,662.6174797,0
11,74,7,36,367.3,296.891196,0
13,52,5,20,170,132.9394779,0
22,74,5,38,774.3,594.7999399,0
7,89,4,45,351.4375,285.8234996,0
17,38,6,40,324,269.2999899,0
26,89,2,44,1273.7,1025.588896,0
13,88,4,37,530.1,439.8348078,0
2,83,4,37,77.775,64.22733081,0
17,78,4,32,531.4,411.4680239,0
25,87,5,41,1115.6875,908.2709651,0
15,97,4,40,728.5,623.843563,0
15,51,5,44,421.75,330.5368832,0
16,104,6,35,729,600.4683073,0
3,87,5,0,1,0.778477354,0
23,89,5,46,1178.025,945.5638387,0
11,10,4,0,1,0.679674693,0
18,90,5,38,770.5,588.0893191,0
21,82,4,44,948.1,724.029493,0
16,89,6,24,428.2,374.1428106,0
21,86,4,43,971.725,755.3426469,0
25,7,4,0,1,0.822217725,0
13,65,5,22,233.375,187.0053724,1
13,88,5,25,358.5,300.1755644,0
25,7,5,36,79.75,66.71722295,0
14,93,4,45,733.375,553.6260818,0
17,92,3,38,743.9,583.962059,0
31,62,4,29,697.725,557.3366932,0
13,97,7,14,221.675,180.398174,0
12,90,4,44,595,474.2132292,0
15,84,4,30,473.5,410.5265887,0
11,90,4,43,533.125,459.9272225,0
16,93,5,0,1,0.751548818,0
10,72,6,38,343,278.8871241,0
10,7,3,40,36,27.35474137,0
15,36,3,26,176.5,131.8006946,0
11,77,6,41,435.0875,371.2419558,0
18,97,5,29,633.925,476.858083,0
11,98,5,38,513.05,437.2016736,0
19,87,4,35,724.1875,597.478557,0
18,84,5,32,605.8,449.2219409,0
11,47,5,39,253.0375,194.1588373,0
12,44,4,46,304.6,267.0323126,0
18,76,4,41,702.1,534.9469707,0
25,92,4,46,1323.5,1145.349594,0
10,101,5,44,556.5,427.847419,0
6,85,5,46,294.25,238.716419,0
16,45,4,45,406,315.6988092,0
11,64,6,46,405.8,306.6428939,1
12,100,5,23,346,306.410462,0
22,90,7,45,1114.75,912.6337352,0
15,82,4,21,323.875,250.3421117,0
17,11,5,28,66.45,52.93831545,1
11,82,6,28,316.7,231.2437832,0
20,37,6,44,408,332.6185704,1
13,82,5,35,467.375,372.3917839,1
23,62,7,46,820.95,632.683295,1
10,11,6,27,38.125,26.71252561,1
21,87,4,38,868.825,712.1532505,0
14,72,4,40,505,391.6686334,0
9,49,4,43,238.0375,206.3955223,0
10,85,4,30,319.75,245.0432241,0
14,77,5,46,620.85,544.9705625,0
18,78,5,39,685.45,630.5030027,0
24,33,4,46,456.4,331.568244,0
12,83,5,40,499,369.3048029,0
0,84,6,39,1,0.804424178,1
21,76,3,42,838.9,662.8876465,0
13,33,5,46,247.675,200.673205,0
15,80,5,43,646,541.7033416,0
16,81,5,44,713.8,637.2346907,0
12,10,6,43,65.5,56.98151605,1
16,74,5,46,681.8,555.0156649,0
10,75,4,30,282.25,241.2991629,0
1,50,4,12,8.5,6.935960062,1
28,47,4,43,708.35,567.9922189,0
18,87,4,41,803.575,663.5730088,0
20,80,6,38,761,633.3425222,0
9,91,5,31,318.3625,246.3127154,0
14,39,6,11,76.075,68.73189056,0
19,92,3,42,918.7,762.7465993,0
17,98,5,15,313.375,243.9541136,0
15,91,6,42,717.625,514.692283,0
11,43,6,39,231.5875,189.9879743,0
10,81,5,26,264.25,209.4925128,0
16,85,5,42,715,567.9900204,1
12,86,5,29,375.1,324.7597934,0
15,100,4,39,732.25,537.3357165,0
15,78,4,46,673.75,590.4641392,0
13,44,4,21,151.15,115.6909722,0
16,74,3,46,681.8,595.6116489,0
22,88,5,17,412.4,314.8014124,0
18,96,5,45,973,778.4183786,0
11,48,3,43,284.8,248.1594959,0
13,41,6,43,287.4875,224.9317383,0
25,93,5,44,1279.75,1018.866537,0
25,95,6,45,1336.9375,1102.562578,0
16,84,7,34,572.2,418.5769133,0
9,75,7,33,279.4375,211.5486595,0
15,52,4,45,439.75,332.06213,0
14,101,4,42,743.35,600.6408144,0
31,111,4,44,1893.55,1586.336316,0
17,38,5,44,356.3,298.5505552,0
6,75,4,5,29.125,21.40376326,0
18,80,5,23,415,343.8628179,0
19,81,6,26,501.175,412.3238324,0
3,55,5,46,95.875,84.18627396,0
8,97,5,38,369.6,314.513622,0
15,86,2,27,436.375,328.5507538,0
16,37,7,42,311.8,235.6722007,0
22,88,3,46,1114.2,925.5658872,0
14,85,4,42,625.75,506.2436212,0
24,67,3,44,885.4,726.6437584,0
13,83,5,46,621.425,539.0070048,0
19,77,8,38,695.925,563.6082757,0
10,86,6,43,463.25,387.3998783,0
13,11,7,41,74.2875,59.99895809,0
13,88,5,46,658.8,560.9973557,0
14,89,4,44,686.3,564.6150428,0
14,79,4,45,623.125,519.0342238,0
9,88,6,12,119.8,91.30096151,0
26,101,5,36,1182.7,736.7507928,0
10,75,6,6,57.25,49.65904048,0
11,33,5,15,69.0625,56.97493866,0
